"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,visit_1_screening,,text,"Record ID",,,,,,,,,,,,,
gender,visit_1_screening,"<div class=""rich-text-field-label""><p><span style=""font-size: 10pt; font-family: 'Open Sans';"">Demographics</span></p></div>",radio,"What is the gender of the subject","1, Male | 2, Female",,,,,y,,y,,,,,
age,visit_1_screening,,radio,"Do the age of the subject fall within 18 to 70 years of age","1, yes | 2, no",,,,,y,,y,,,,,
weight,visit_1_screening,,text,"What is the weight of the Subject (kgs)
",,,integer,,,,,y,,,,,
height,visit_1_screening,,text,"What is the height of the Subject (cm)",,,integer,,,,,y,,,,,
diabetes_mellitus_status,visit_1_screening,"Diabetes History",radio,"Is the subject diagnosed with Type 2 diabetes mellitus (as defined in the American Diabetes Association Standards of Medical Care in Diabetes 2015)","1, Yes | 2, No","A1C (Glycated Hemoglobin): 5.7%−6.4% , FPG(Fasting Plasma Glucose) : 100−125 mg/dL (5.6−6.9 mmol/L), 2-h Plasma glucose during OGTT: 140−199 mg/dL (7.8−11.0 mmol/L)",,,,y,,y,,,,,
type_1_diabetes_history,visit_1_screening,,radio,"Does the patient have history of type 1 diabetes","1, Yes | 2, No",,,,,,,y,,,,,
history_of_ketoacidosis,visit_1_screening,,radio,"Does the Subject have history of ketoacidosis","1, Yes | 2, No",,,,,,,y,,,,,
insulin_use,visit_1_screening,,radio,"Does subject take Insulin","1, Yes | 2, No",,,,,,,y,,,,,
insulin_frequency,visit_1_screening,,radio,"When was the last time subject took the insulin?","1, less than 2 months ago | 2, more than 2 month ago",,,,,,"[insulin_use] = '1'",y,,,,,
metformin_consumption,visit_1_screening,"metformin Exposure",radio,"Is the subject currently taking metformin?","1, Yes | 2, No",,,,,,,y,,,,,
